program_id,reasons,overall_score,first_verdict,second_verdict,verdict_agreement,first_confidence,second_confidence,first_issue_categories,second_issue_categories,first_timing_only_fix_possible,second_timing_only_fix_possible
stencil3d_qwen3.7-plus_mpi_r2,nonstandard_invalid,8,invalid,invalid,true,high,high,unsynchronized_clocks;reported_value_mismatch,unsynchronized_clocks,true,true
unstructured_gpt-5.2-codex_hybrid_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;incomplete_timed_region;missing_device_synchronization,missing_rank_aggregation;rank_local_timing;missing_device_synchronization;incomplete_timed_region,true,true
unstructured_gpt-5.2_hybrid_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,true,true
unstructured_gpt-5.6-luna-xhigh_hybrid_r4,nonstandard_invalid,8,invalid,invalid,true,high,high,wrong_mpi_datatype,wrong_mpi_datatype,true,true
unstructured_gpt-5.6-sol-low_hybrid_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
unstructured_gpt-5.6-sol-low_hybrid_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
unstructured_gpt-5.6-terra-medium_hybrid_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;missing_stop_synchronization,true,true
unstructured_gpt-5.6-terra-xhigh_hybrid_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
unstructured_qwen3.7-plus_hybrid_r1,competitive_invalid;nonstandard_invalid,9,invalid,valid,false,high,high,reported_value_mismatch,none,true,false
unstructured_qwen3.7-plus_hybrid_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;missing_start_synchronization;reported_value_mismatch,true,true
